Task: m2u, Iter:1/30; Accuracy = 98.08%/ 98.29%
Task: m2u, Iter:2/30; Accuracy = 98.52%/ 98.69%
Task: m2u, Iter:3/30; Accuracy = 98.63%/ 98.83%
Task: m2u, Iter:4/30; Accuracy = 98.88%/ 98.93%
Task: m2u, Iter:5/30; Accuracy = 98.92%/ 98.85%
Task: m2u, Iter:6/30; Accuracy = 98.99%/ 98.97%
Task: m2u, Iter:7/30; Accuracy = 99.08%/ 99.07%
Task: m2u, Iter:8/30; Accuracy = 99.17%/ 99.04%
Task: m2u, Iter:9/30; Accuracy = 99.22%/ 99.02%
Task: m2u, Iter:10/30; Accuracy = 99.23%/ 99.12%
Task: m2u, Iter:11/30; Accuracy = 99.21%/ 99.06%
Task: m2u, Iter:12/30; Accuracy = 99.33%/ 99.10%
Task: m2u, Iter:13/30; Accuracy = 99.35%/ 99.23%
Task: m2u, Iter:14/30; Accuracy = 99.33%/ 99.21%
Task: m2u, Iter:15/30; Accuracy = 99.39%/ 99.14%
Task: m2u, Iter:16/30; Accuracy = 99.42%/ 99.24%
Task: m2u, Iter:17/30; Accuracy = 99.42%/ 99.17%
Task: m2u, Iter:18/30; Accuracy = 99.45%/ 99.24%
Task: m2u, Iter:19/30; Accuracy = 99.47%/ 99.23%
Task: m2u, Iter:20/30; Accuracy = 99.47%/ 99.19%
Task: m2u, Iter:21/30; Accuracy = 99.41%/ 99.12%
Task: m2u, Iter:22/30; Accuracy = 99.47%/ 99.14%
Task: m2u, Iter:23/30; Accuracy = 99.49%/ 99.21%
Task: m2u, Iter:24/30; Accuracy = 99.51%/ 99.19%
Task: m2u, Iter:25/30; Accuracy = 99.51%/ 99.15%
Task: m2u, Iter:26/30; Accuracy = 99.49%/ 99.14%
Task: m2u, Iter:27/30; Accuracy = 99.53%/ 99.22%
Task: m2u, Iter:28/30; Accuracy = 99.50%/ 99.19%
Task: m2u, Iter:29/30; Accuracy = 99.53%/ 99.17%
Task: m2u, Iter:30/30; Accuracy = 99.53%/ 99.15%
